Unnamed: 0,date,tweet_content,user_name,id,Tweet Category
0,2023-06-24 03:08:26+00:00,"Operating on the Binance Smart Chain network and powered by smart contracts, our project prioritizes security, stability, and transparency for every participant. 🛡️ #Cryptocurency #token #aidfinance #crypto #DeFi #altcoin https://t.co/pcSw65sNJf",AIDtokenF,ID,Altcoin
1,2023-06-24 03:07:16+00:00,"@unicorn_in72340 Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
2,2023-06-24 03:06:42+00:00,"@BushidoMoney Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
3,2023-06-26 03:06:17+00:00,"@BushidoMoney Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
4,2023-06-26 03:04:28+00:00,"@Xeenon_xyz @Titan_Node Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
5,2023-06-26 03:02:12+00:00,"@theomparticle DM me sir let's talk, I have a good proposal for your project 📥🚀",AltcoinGem1000X,1.63E+18,Altcoin
6,2023-06-26 03:01:23+00:00,"@SnoopMinerETH Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
7,2023-06-26 03:00:51+00:00,"@kryptochay Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
8,2023-06-26 03:00:14+00:00,"@imthebatman_eth DM me sir let's talk, I have a good proposal for your project 📥🚀",AltcoinGem1000X,1.63E+18,Altcoin
9,2023-06-26 02:59:41+00:00,@B_RATEDComedy Excellent project! Let's work together ! send me dm 📩,AltcoinGem1000X,1.63E+18,Altcoin
10,2023-06-26 02:59:20+00:00,"@B_RATEDComedy DM me sir let's talk, I have a good proposal for your project 📥🚀",AltcoinGem1000X,1.63E+18,Altcoin
11,2023-06-26 02:58:42+00:00,"@B_RATEDComedy Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
12,2023-06-26 02:57:59+00:00,"So far, #RHT has paid its holders $1272 in #USDT. No staking and not a reflection token. 1% of all trades goes to the investment Royalty Company portfolio made up of stocks, bonds, crypto etc. Earnings get paid every Sunday to the holders of $RHT. #Crypto #altcoin #CryptoNews https://t.co/oz1ohMfaF6",RoyaltyEarnTube,1.63E+18,Altcoin
13,2023-06-26 02:55:49+00:00,"eh depend, 

not shorting majority of altcoin since november 2022 is litteraly be a redard and underperform heavly the market, but that only if you also longed on the other side few  good coin, like bitcoin/tomochain

the most important part of shorting is you need a long or spot before it, otherwise the risk you taking is way to high and it's not be a chad in this case, it's being inconsider/immature trader",mattomattik,1.63E+18,Altcoin
14,2023-06-26 02:55:04+00:00,#Swiss central bank announces plans for wholesale #CBDC pilot with ‘real money’ - https://t.co/631bDU8oIe #coinatory #Adoption #Altcoin #Bitcoin #Blockchain #Cryptocurrency #Cryptomarket #Cryptonewstoday #Ethereum #News #Regulations,Coinatory,1.63E+18,Altcoin
15,2023-06-26 02:55:04+00:00,@CMOON_COIN Excellent project! Let's work together ! send me dm 📩,AltcoinGem1000X,1.63E+18,Altcoin
16,2023-06-26 02:54:34+00:00,"@CMOON_COIN Hey!! They seem like a good project to me, can we talk? send me dm! 🚀📩",AltcoinGem1000X,1.63E+18,Altcoin
